4223	51440
1569	3150
1569	153
1569	2742
3676	3897
3676	1619
3676	941
3676	2696
3676	1917
3676	3135
3676	2382
3676	2052
3676	2770
3676	1202
3676	1951
3676	2111
3676	2286
3676	1167
3676	3400
3676	3128
3676	855
3676	901
3676	7
3676	2877
3676	832
3676	241
3676	57
3676	1612
3676	1478
3676	3624
3676	2082
3676	1193
3676	2434
3676	2228
3676	3721
3676	2158
3676	123
3676	3370
3676	1635
3676	3145
3676	1970
3676	691
3676	3875
3676	2936
3676	3520
3676	2836
3676	981
3676	3186
3676	3231
3676	3981
3676	372
4069	2436
4069	1615
4069	1340
4069	1318
4069	1463
4069	716
4069	3930
4069	1629
4069	3337
4069	3912
4069	3855
4069	717
4069	3233
4069	2474
4069	653
4069	3462
4069	2177
4069	2310
4069	3701
4069	315
4069	217
4069	2467
4069	1437
4069	2077
4069	1665
4069	3331
4069	3474
4069	355
4069	2211
4069	1145
4069	2822
4069	3936
2098	153
4113	813
4113	4117
1438	3897
1438	153
1438	941
1438	2058
1438	3013
1438	1917
1438	3135
1438	2382
1438	2312
1438	2052
1438	3102
1438	1951
1438	2286
1438	3587
1438	1167
1438	3400
1438	3433
1438	4221
1438	3793
1438	2099
1438	241
1438	2936
1438	572
1438	2768
1438	2835
1438	635
1438	3721
1438	4131
1438	3520
1438	258
1438	1478
1438	1220
1438	3267
1438	2836
1438	2257
1438	3911
1438	714
1438	2241
1438	1970
1438	4180
3134	2930
3134	153
3134	3871
3134	313
3134	551
3134	157
3134	1552
3134	420
3134	662
3134	3339
3134	4077
3134	3137
3134	3694
3134	1276
3134	3217
3134	852
3134	3371
3134	1473
3134	3156
3134	3147
3134	3010
3134	252
3134	962
3134	680
3134	1266
3134	3359
3134	3116
3134	1646
3134	2882
3134	2022
3134	292
2335	3735
2335	1106
2335	3999
2335	153
2335	3497
2335	2124
2335	1626
2335	3023
2335	2058
2335	440
2335	3718
2335	1597
2335	3516
2335	1867
2335	3247
2335	3399
2335	1350
2335	2262
2335	3533
2335	3183
2335	2947
2335	3625
2335	2919
2335	1272
2335	4208
2335	686
2335	3058
2335	3127
2335	705
2335	3294
2335	3975
2335	1906
2335	1643
2335	1268
2335	1038
2335	3328
2335	1824
2335	2353
2335	3051
2335	126
2335	1286
2335	2055
2335	3814
2335	983
2335	3148
2335	1973
2335	2368
2335	519
2335	1601
2335	3372
2335	2884
2335	1694
2335	3580
2335	1578
2335	3354
2335	1227
2335	3151
2335	1712
2335	3788
